Context,Option_A,Option_B,Gold_Label,Phenomenon,Domain,Role_Direction
Teacher to Student: Did you do your homework? Student replies...,"Nu, nu mi-am făcut tema.",Am avut un meci de fotbal aseară.,B,PCI,Education,Teacher->Student
Friend A to Friend B: Is your girlfriend nice? Friend B replies...,E o persoană foarte drăguță.,E foarte bună la desen.,B,PCI,Friends,Friend->Friend
Manager to Employee: Do you have time to talk? Employee replies...,Am un avion diseară.,Nu am timp.,A,PCI,Workplace,Manager->Employee
Parent to Child: Did you clean your room? Child replies...,M-am jucat cu o oră în urmă.,Am curățat camera.,A,PCI,Family,Parent->Child
Customer to Salesperson: Are these shoes comfortable? Salesperson replies...,Sunt la modă.,Sunt foarte confortabili.,A,PCI,Commerce,Customer->Salesperson
Neighbor to Neighbor: Did you hear the party next door last night? Neighbor replies...,Poliția a venit pe la 12 noaptea.,A fost o petrecere foarte zgomotoasă.,A,PCI,Family,Neighbor->Neighbor
Doctor to Patient: Did you take your medicine? Patient replies...,"Da, mi-am luat medicamentele.",Am avut niște simptome neobișnuite după prima doză.,B,PCI,Healthcare,Patient->Medic
Friend A to Friend B: What did you think of the new restaurant? Friend B replies...,"Mâncarea a fost, să zicem, interesantă.",Mâncarea a fost delicioasă.,A,PCI,Friends,Friend->Friend
Professor to Student: Did you like my book? Student replies...,E o sursă excelentă de informații.,Cartea dumneavoastră este minunată.,A,PCI,Education,Student->Professor
Colleague to Colleague: Do you think our boss will like this presentation? Colleague replies...,"Da, o va iubi.",Cred că va aprecia datele noastre.,B,PCI,Workplace,Colleague->Colleague
Parent to Child: Did you do well on your test? Child replies...,Am răspuns la majoritatea întrebărilor.,Am luat nota maximă.,A,PCI,Family,Parent->Child
Customer to Salesperson: Do you have this product in a different color? Salesperson replies...,Acesta este singurul model pe care-l avem.,Nu avem altă culoare.,A,PCI,Commerce,Customer->Salesperson
Boss to Employee: Is the report ready? Employee replies...,Am terminat secțiunea 1.,"Nu, nu e gata.",A,PCI,Workplace,Boss->Employee
Friend A to Friend B: Do you want to try rock climbing? Friend B replies...,Nu-mi place.,Nu sunt un fan al înălțimilor.,B,PCI,Friends,Friend->Friend
Teacher to Student: Are you going to study for the final exam? Student replies...,Am cumpărat o grămadă de jocuri noi.,"Nu, nu voi studia.",A,PCI,Education,Teacher->Student
Husband to Wife: Do you think our new neighbors are nice? Wife replies...,Mașina lor blochează intrarea în parcare.,Sunt persoane drăguțe.,A,PCI,Family,Spouse->Spouse
Manager to Employee: What do you think of this idea? Employee replies...,Este o idee excelentă.,Este o idee unică.,B,PCI,Workplace,Manager->Employee
Patient to Doctor: Will this help me feel better? Doctor replies...,"Da, vă va ajuta.","Medicina are, din păcate, limitele ei.",B,PCI,Healthcare,Patient->Medic
Clerk to Citizen: Are you a permanent resident here? Citizen replies...,Nu am încă toate documentele necesare.,Nu sunt un rezident permanent.,A,PCI,Administration,Citizen->Clerk
Friend A to Friend B: What did you think of the movie? Friend B replies...,A fost foarte lung.,Mi-a plăcut filmul.,A,PCI,Friends,Friend->Friend
Professor to Student: How did you find my feedback on your paper? Student replies...,A fost destul de detaliat.,A fost foarte util.,A,PCI,Education,Student->Professor
Parent to Child: Are you happy with your grades? Child replies...,Am trecut.,Sunt fericit cu notele mele.,A,PCI,Family,Parent->Child
Colleague to Colleague: Can you help me with this task? Colleague replies...,Am deja un proiect urgent de terminat.,Sunt prea ocupat.,A,PCI,Workplace,Colleague->Colleague
Salesperson to Customer: Are you interested in buying this car? Customer replies...,Nu am bani.,Nu cred că am un buget pentru un model nou.,B,PCI,Commerce,Customer->Salesperson
Friend A to Friend B: What do you think about our new team leader? Friend B replies...,Vorbește mereu despre el însuși.,Îmi place mult.,A,PCI,Friends,Friend->Friend
Waiter to Customer: How was the dessert? Customer replies...,A fost diferit de ce mă așteptam.,A fost delicios.,A,PCI,Services,Customer->Waiter
Boss to Employee: Did you finish the reports? Employee replies...,"Nu, nu am terminat.",Am trimis un email cu tot ce am făcut până acum.,B,PCI,Workplace,Boss->Employee
Professor to Student: Do you think this topic is too complex? Student replies...,Oamenii sunt foarte entuziasmați să-l studieze.,"Nu, este foarte simplu.",A,PCI,Education,Professor->Student
